City ,Confirmed Covid Case Numbers
Taygh-e Spi,479391
Taygh-e Sokhtah,237260
Taygh-e Siyah Pilu,8642
Taygh-e Siyah Khulah,127800
Taygh-e Siyah Kharak,552087
Taygh-e Siyah,3333
Taygh-e Sinj,297514
Taygh-e Shishah,12345
Taygh-e Shamshayr Sang,6338
Taygh-e Shalah,868
Taygh-e Shahwah,255621
Taygh-e Sehlari,138542
Taygh-e Sarmuk,32912
Taygh-e Sar-e Larha,191
Taygh-e Sar-e Khwajah Hasan,266805
Taygh-e Sar Khanah Shikaf,12187
Taygh-e Sang-e Ushtur,142059
Taygh-e Sang-e Surakh,2339
Taygh-e Sang-e Shikaf,15826
Taygh-e Sang-e Safed,1124
Taygh-e Sang-e Mardak,36794
Taygh-e Sangchil,5023
Taygh-e Sangar,4214
Taygh-e Sangak-e Shandah,3606
Taygh-e Sangak,9179
Taygh-e Safed,26684
Taygh-e Sadman,207832
Taygh-e Robazoran,247099
Taygh-e Ri,57607
Taygh-e Rah,37650
Taygh-e Qal`ah Wurkhanah,1335815
Taygh-e Puzragh,215791
Taygh-e Pur Sang,712
Taygh-e Paytow-e Kalan,6181
Taygh-e Oshtur Gardan,151
Taygh-e Oshkolak,243778
Taygh-e Oshay,295114
Taygh-e Nowroz Jay,187716
Taygh-e Nil,61539
Taygh-e Nay-e Hamwar,6371
Taygh-e Mir-e Sa`d,2944
Taygh-e Minkharah,77491
Taygh-e Minkal-e Rubatak,17191
Taygh-e Minka,168335
Taygh-e Mianah,66
Taygh-e Masharaf,63110
Taygh-e Maidanak,3906363
Taygh-e Madgaw Post Kardah,16015
Taygh-e Lukah Surkh,4792
Taygh-e Lashkari,273137
Taygh-e Langar,86737
Taygh-e Lamuz,209462
Taygh-e Lamak,148
Taygh-e Kushk Khol,179563
Taygh-e Kowsh,16912
Taygh-e Kisht,3319
Taygh-e Khwajah Bayd,8847
Taygh-e Khushk Ab,12536
Taygh-e Khulah Zardak,27
Taygh-e Khozboshan,174508
Taygh-e Khirsi,475207
Taygh-e Khazah,6067
Taygh-e Khayr Khanah,1392945
Taygh-e Khar-Pushtah,1706559
Taygh-e Kharbayd,735626
Taygh-e Khanim,223957
Taygh-e Khak-e Manijah,808262
Taygh-e Khak Badak,35477
Taygh-e Katah Jar,27465
Taygh-e Kashmashah,442202
Taygh-e Kandalak,269599
Taygh-e Kala-ye Khar,109643
Taygh-e Kalagh,0
Taygh-e Juft Kol,73735
Taygh-e Jowzak,203055
Taygh-e Jar-e Khushk,86640
Taygh-e Jar-e Jowa,47
Taygh-e Jangjoy,90997
Taygh-e Ja`far,401826
Taygh-e Hizum Kashan,10525
Taygh-e Gor Khanah,2026
Taygh-e Gazi Yakah,140688
Taygh-e Garmanak,2594
Taygh-e Duzdanak,202900
Taygh-e Durusht,56822
Taygh-e Dumgah,9
Taygh-e Dum-e Oshtur,20155
Taygh-e Dewal,32528
Taygh-e Daymah-ye Mahmud,316269
Taygh-e Day Mazar,21034
Taygh-e Daraz,8613
Taygh-e Darah-ye Khakistarak,24847
Taygh-e Darah-ye Anarak,4
Taygh-e Chukak,17365
Taygh-e Chishtab,641
Taygh-e Chihiltan,1
Taygh-e Chihilgazi,196475
Taygh-e Chihil Sang Ab,2048
Taygh-e Chihil Bayd,3481
Taygh-e Chashmah-ye Uk,80803
Taygh-e Chashmah-ye Niaz,486833
Taygh-e Chashmah-ye Korak,62882
Taygh-e Chashmah-ye Daraz,40337
Taygh-e Charkhah Wazah,274869
Taygh-e Chap Tagab,2410
Taygh-e Chahar Maghz,6537
Taygh-e Buzghal,4835
Taygh-e Bursak,159252
Taygh-e Bumak,108350
Taygh-e Biland,76484
Taygh-e Barik,144831
Taygh-e Barfdan,345759
Taygh-e Baraftow,1741
Taygh-e Badrowak,171985
Taygh-e Badamha,600428
Taygh-e Archah,1811036
Taygh-e Andarah,811306
Taygh-e Amruchah-ye Musa,167888
Taygh-e Amroha,835552
Taygh-e Amilha,19779
Taygh-e Alinji,41
Taygh-e Alam Chob,3902
Taygh-e Adinah,1663
Taygh-e Ab Barik,3
Tayghchigha,3984
Tayghal,1977
Tayghak Ab,380572
Tayghah-ye Sar Sanghal,36039
Tayghah-ye Sabz,494106
Tayghah-ye Mazar,3032
Tayghah-ye Lar,3922
Tayghah-ye Chaptah Gow,60052
Taygh Baz,325993
Tay-e Sulaych,196421
Tay-e Shar,18
Tay-e Qash,8577
Tay-e Purow,1522697
Tay-e Pazhak,93733
Tay-e Paytow,8870
Tay-e Nal,86343
Tay-e Mumbar,30686
Tay-e Mazar,8985
Tay-e Luch,566412
Tay-e Kurd,16117
Tay-e Koh,977
Tay-e Howli,13308
Tay-e Ghar,509
Tay-Dasht,26501
Taychambar Ghar,142
Taybuti,7680
Taybum Jar,7736
Taybaz,238613
Taybar,2807387
Tayband,40490
Taybalqoriq,415705
Taybaghchah,65527
Tayak,80247
Tay Ziarat,3
Tay Warsil,143321
Tay Tamur Ghar,2526
Tay Tamur,200382
Tay Safed,2586
Tay Rubat,82897
Tay Rashak,36321
Tay Qal`ah,57954
Tay Now,60721
Tay Nalak,13892
Tay Murghaw Ghar,23591
Tay Mazar,26237
Tay Khanagak,269
Tay Bum Sher,500616
Tay Bum,136759
Tay Bil,59766
Tay Band,136374
Tay Bagh,44681
Tawyz Ar Us,16360
Tawus Khel,86346
Tawiz Khel,326174
Tawiyayn,5455
Tawian Dam,21632
Tawian,21317
Tawi Zulaymah,44061
Tawi Za'id,485759
Tawi Za`lah,5028
Tawi Za`abiyah,890884
Tawi Yudayyah,18
Tawi Yal,994
Tawi Yahfar,349313
Tawi Yabbah,39314
Tawi Wushah,99832
Tawi Widd,822
Tawi Waraqah,11706
Tawi Umm Ghuwayr,107954
Tawi Umm Baraz,5622
Tawi Umm an Nughul,43691
Tawi Tuwayli`,61832
Tawi Tubul,15689
Tawi Thuqaybah,827800
Tawi Tayy,325383
Tawi Tayri,57726
Tawi Tasharawiyah,8177
Tawi Tarish,16839
Tawi Suwayhan,217704
Tawi Suwayda',29112
Tawi Sultan Salim,44662
Tawi Sulaymat,12598
Tawi Suhaylah,126145
Tawi Sirrah,123
Tawi Siji,20264
Tawi Shubaysi,3196
Tawi Shawkah,10673
Tawi Shat,325709
Tawi Sharqan,720068
Tawi Shaqq,45540
Tawi Shahin,26935
Tawi Sayfilman,56476
Tawi Sayf,19141
Tawi Sarma',29790
Tawi Saram,16799
Tawi Samhan,449401
Tawi Samha',1049
Tawi Salim,32305
Tawi Salih,132352
Tawi Saji`ah,724
Tawi Safsaf,262820
Tawi Sabarad,78421
Tawi Sa`idi,8156
Tawi Sa`id Bin Huwaydan,67569
Tawi Sa`diyah,196
Tawi Ruwayyah,46825
Tawi Ruqayyah,78599
Tawi Ruqayshah,18578
Tawi Rumh,85119
Tawi Rubayyah,153
Tawi Riqanah,98011
Tawi Rifa`,33716
Tawi Rashidah,34539
Tawi Rashid Bin Sa`id,382062
Tawi Rashid Bin Hamad,34659
Tawi Rashid,39608
Tawi Ramarim,46964
Tawi Rafi`ah,3607891
Tawi Rafah,60235
Tawi Rafadah,289574
Tawi Qurun Mahafiz,8635
Tawi Qurayn,42326
Tawi Qatam,25002
Tawi Qarad,664687
Tawi Qafan,17078
Tawi Nusayli,12539
Tawi Numayriyah,170933
Tawi Nubayy,207739
Tawi Nubaybigh,509596
Tawi Nazwa,27562
Tawi Nasuriyah,460
Tawi Naqrah,450373
Tawi Nahshilah,40902
Tawi Mutayn,4767
Tawi Mushayrif,22502
Tawi Musaytiah,4043
Tawi Musannad,11400
Tawi Murrah,52356
Tawi Muray,49725
Tawi Muraqqibat,36699
Tawi Muraqqab,59134
Tawi Mulayhah,315030
Tawi Muhayjir,10126
Tawi Muhammad,27406
Tawi Mudayyin,44020
Tawi Mudayrah,6572
Tawi Mu`dhab,591
Tawi Mu`addar,703
Tawi Mirdif,21837
Tawi Miran,574062
Tawi Milleha,65475
Tawi Mazyad,10529
Tawi Maythah,438025
Tawi Mayd Sharqiyin,288145
Tawi Matraq,22665
Tawi Masayati,38852
Tawi Marqab,36307
Tawi Marmum,107221
Tawi Margham,4830
Tawi Marafiyah,37016
Tawi Marafi,3423
Tawi Malihah,30147
Tawi Malaqat,15500
Tawi Mala,88679
Tawi Maktum,641660
Tawi Mahdathah,0
Tawi Mahaytah,49
Tawi Maghis,41910
Tawi Madlul,309547
Tawi Ma`arij,76389
Tawi Luduwada,48837
Tawi Khusub,22852
Tawi Khurayyah,31333
Tawi Khurayjah,86385
Tawi Khudayr,1070
Tawi Khudayqah,285021
Tawi Khaznah,3703136
Tawi Khawr,337456
Tawi Khatimah,69404
Tawi Khadra',54
Tawi Khadir,660
Tawi Khadaraq,61144
Tawi Kafrah,26528
Tawi Juwayzah,1952733
Tawi Juhr,16693
Tawi Jibarah,18495
Tawi Jalajilah,27714
Tawi Jahili,81762
Tawi Jadid,552
Tawi Huwayrah,546
Tawi Husayn,18320
Tawi Huraymah,2145
Tawi Hurayjah,113279
Tawi Humayrir,187
Tawi Hulayw,23291
Tawi Hudaythah,125743
Tawi Harmalah,1026692
Tawi Harib,4255
Tawi Hansara,4673
Tawi Hamriyah,4959
Tawi Hamraniyah,55538
Tawi Hammam,418016
Tawi Hamdah,2774
Tawi Hamad,13
Tawi Halibah,103
Tawi Hahlarmee,31
Tawi Hafir,27344
Tawi Ghurab,10458
Tawi Ghiyad,1310
Tawi Ghayl,7752
Tawi Ghara,122103
Tawi Ghannam Buti,2236
Tawi Ghafr,267
Tawi Ghadir,2256
Tawi Ghadaya,36111
Tawi Fili,147
Tawi Fayhah,274522
Tawi Fatimah,4618
Tawi Duwayhah,171
Tawi Dukannan,119076
Tawi Dayd,25577
Tawi Da`fas,53758
Tawi Burmah,273087
Tawi Burayrat,28827
Tawi Bulayshah,1317
Tawi Buhuth,1610
Tawi Buhayis,1308
Tawi Bu Tayyarah,194281
Tawi Bu Salaf,35293
Tawi Bu Muwayrikah,59239
Tawi Bu Harmah,5058
Tawi Bu Hafafah,19591
Tawi Bu Dhi'b,11120
Tawi Bu al Qird,9830
Tawi Bu al Khabis,25509
Tawi Bu al `Abbas,68151
Tawi Biyatah,50078
Tawi Biyalan,1037
Tawi Bisat,18338
Tawi Birkah,6043
Tawi Bint Sa`id,41873
Tawi Bin Yusuf,173790
Tawi Bin Shumah,1200938
Tawi Bin Hashil,668308
Tawi Bin `Asil,14869
Tawi Bid`at,368
Tawi Bid` Salf,340891
Tawi Bid` Sa`id,57550
Tawi Batha',1882
Tawi Baraq,46229
Tawi Bahuth,952
Tawi Baga,69921
Tawi ath Thuqbah,31146
Tawi Assai,555
Tawi Asmar,79705
Tawi as Saygh,127191
Tawi as Sadd,7298
Tawi Arfah,4364
Tawi ar Rul,120374
Tawi an Nukharah,705
Tawi al Ubayrat,935
Tawi al Qaran,573
Tawi al Qarah,28029
Tawi al Massah,45189
Tawi al Masakin,21599
Tawi al Lusayli,762
Tawi al Khubirsi,1762
Tawi al Khubab,29010
Tawi al Khawrah,12108
Tawi al Khawr,19299
Tawi al Khawaniq,30683
Tawi al Jafr,13749
Tawi al JafIr,45888
Tawi al Hisn,298806
Tawi al Hibab,19327
Tawi al Haythah,41748
Tawi al Hayr,956041
Tawi al Harf,32163
Tawi al Hammah,411917
Tawi al Ha'ir,1081055
Tawi al Gaseya,49434
Tawi al Faq`,21483
Tawi al Bi'r,52376
Tawi al Bid`,86869
Tawi al Ahhab,22010
Tawi al `Uwayniyah,50243
Tawi al `Ayn,74433
Tawi al `Awqan,142517
Tawi al `Awir,79142
Tawi al `Ashush,37589
Tawi al `Aqli,11006
Tawi Akhi,901
Tawi adh Dhibah,40140
Tawi ad Duwaybah,18775
Tawi ad Dahhan,39707
Tawi Abu Muraykhah,63925
Tawi Abu Hisn,14334
Tawi Abu al Hamdi,3464
Tawi `Uwayyir,18197
Tawi `Uwayyah,31802
Tawi `Uwayd,9130
Tawi `Uqayr,16393
Tawi `Azza,47096
Tawi `Ashwani,27606
Tawi `Arqiyah,9835
Tawi `Aqqah,509
Tawi `Aqariyah,38950
Tawi `Ankah,246775
Tawi `Ali,37278
Tawe Ghar,406
Tawask Ghar,106648
Tawas Khel,80863
Tawaray,635962
Tawar,39581
Tawakh,73845
Tawah-ye Sowz,25591
Tawah-ye Siyah,640362
Tawah-ye Sabz,32882
Tawah-ye Luchak,54380
Tawah-ye Kabud,21605
Tawah-ye Bagh,434926
Tawahgak,15246
Tawah-e Lochak,22367
Tawah-e Kabud,83211
Tawah Tash,48
Tawah Shakh,265527
Tawah Sang,10435
Tawah Qolak,597385
Tawah Khanah,8180
Tawah Kachah,22302
Tawah Ghal,36101
Tawah,2238398
Taw Biryan,46066
T'avuti Durr,29298
T'avut,32350
Tavushi Marz,224369
Tavushi Lerrnashght'a,73883
Tavushi Jrambar,12021
Tavushi Hin,6886
Tavushi,388666
Tavush,593607
T'avu Kham,262827
Tavu,189155
T'avshuti Hin,45586
T'avshut,18413
Tavshut,25963
T'avshe,13977
T'avshamargi,7184
T'avshamarg,42731
T'avshahogher,375653
Tavrus,222603
T'avrizts'ineri Ktorner,659890
Tavrat'agh,43803
Taveula,2569
Tavelassanga,928402
T'avek',492108
Taveh-ye Sabz,298008
Tavaratsatap',568406
Tavarak Hogher,3895
Tavah-ye Bagh,1949
Taushi Shrjan,4434
Tausabad,11234
Tauquire,101093
Tauni,20
Tau,20439
Tatzat,18223
Tatushi Tegh,27518
T'at'uri,992882
T'at'unts',220129
T'at'umarg,107057
T'at'uli Dasht,47440
T'at'uli Boy,44040
T'at'uli Ayr,12217
T'at'uli,2378
T'at'ul,1613
Tatu,41574
Tats'ui,3350
Tats'oyi Hogh,49324
Tats'oyi,51854
Tatrkahand,11018
Tatrank Qol,203279
Tatran Qol,1046
Tatram Qol,296822
Tatrah,1460
T'at'oyi Tegher,70
T'at'oyi Takhter,77252
T'at'oyi Marg,819042
T'at'oyi Khup',187238
T'at'oyi Jraghats',5220
T'at'oyi Ev Haykoyi,1706924
T'at'oyi Dzorer,1010
T'at'oyi,171195
T'at'oyents',1153
T'at'ot'amb,75
T'at'osu T'as,100019
T'at'osner,177738
T'at'osi K'arap',195010
T'at'osi Hogher,547981
T'at'osi Art,13944
T'at'osi Aghbyur,51139
T'at'osi,875903
Tatoshaj,100514
Tatoray,15941
Tator Aw Pay Khel,114029
Tato,146
Tatni,105
Tatiwal,47
Tatinak Chinah,1664
Tati Srah,27700
Tati Khel Kelay,36703
Tati,17953
Tatey,116924
T'at'evosi Lanjer,381
Tat'evik Surb,32212
Tat'evi Mets Anapat,41782
Tat'evi,88674
Tat'evats'i G.,337860
Tat'ev,981618
Tatendje,1297
T'at'ei K'arer,2539
Tate K'ar,8382
Tatay,430565
Tatavran,41785
Tataskut,316751
Tatarin,18936
Tatari Khwar,158007
Tatari,31012
T'at'arents' Hogher,38285
Tatar Khel,47777
Tatar Chal,24333
Tatar,77858
Tatang,55590
Tatanak,36222
Tatala,153937
Tatah Khel,374931
Tatah,231406
Tat Quduq,733223
Tat Khel,9707
Tasulan,955743
Tassinga,39581
Tassiela,48366
Tassa,309976
Tasraqay,180475
Tasrah Qay,262453
T'asov,51093
Tasnyot' Hektar,47259
Tasnvets' Hektar,2270
Tasnvets' Fidayineri,41078
Tasnut' Hektar,143
Tasnots',32744
Tasnordi Bats'at,39908
Tasnordi,73262
Tasnord,101937
Tasnmekerord Brigad,157337
Tasnmek Hektar,190647
Tasnhing Hektar,179654
Tasnerord Brigad,24440
Tasnerku Popok'i Hogher,7965
Tasnerku Kapi,18
Tasnerku Hektar,293860
Tasnerek' Hektar,1367
Tasnch'ors Hektar,59413
Tasnch'ors Harosner,32644
Tasnatap',20449
Tasnakn,321890
Tasmah Reg,0
Tasmah Qol,13
Taskhinaw,13125
T'asiki Tsmak,104759
T'asik,129277
Tasi Tak,175703
Tasi Karez,703211
Tasi,597136
Tashtunts',46566
Tashtuni Lerrnants'k',50084
Tashtun,159484
Tashti T'il,83869
Tashter,75490
Tashtedzor,25042
Tasht-e Guzar,29713
Tashtategh,199137
Tashtasar,63325
Tashtak'ar,1125
Tashtaghbyur,638
Tashtadzor,4
Tashrak'ar,375828
Tashme Ghar,24
Tashme Band,30271
Tashlugh Shelah,32900
Tashlugh,21752
Tashligh,50960
Tashkukhut',2711
Tashkan,58386
Tashkah Karez,30408
Tashiri Shrjan,712063
Tashil Darah,92221
Tashi Ghar,2134020
Tashguzar,51182
Tashghalak,41959
Tasheghi Blur,29918
Tashatssar,44193
Tashats K'areri Taratsk',206465
Tashats K'arer,156491
Tash Tobah,12417
Tash Siri,558
Tash Qutan,869
Tash Qol,1820
Tash Qalaghan,241
Tash Qal`ah Ghan,2604
Tash Palagh,290
Tash Kupruk,5281
Tash Kowtal,924
Tash Kotal,157498
Tash Kandah,6175
Tash Kam Chiq,34646
Tash Jowar,260150
Tash Guzar,2076
Tash Gozar,114210
Tash Bulaq,26847
Tash Adir,68615
Tas-e Silar,14137
Tas-e Agha Dost,621
Tasartakah-ye Bughur,527348
Tasanordi,113753
Tasanord,1571
Tasang,48232
T'asaghbyur,164697
Tas Sharzh,21007
Tas Hektar,49919
T'as,79197
T'arzonts' Arter,58581
T'arzonts',20725
Taryan,52458
Taryak,27272
Taryah,856246
Tary Khwar,25391
Tarwukay,234
Tarwe,18435
Tarwazah,300342
Tarwari,785242
Tarwakay,44563
Tarvanot,2704712
Taruqah,80111
Tarufah,361
Taru Khel Kelay,1
Taru,17572
Tarteres d'Ortafa,120228
Tarteres d'Entalas,4202
Tarteres dels Pujols,460
Tarteres del Cap de la Coma,113091
Tarteres de Plana de Gral,65684
Tarteres de la Serrera,30620
Tarteres de la Cebollera,166452
Tartera Gran,211
Tartera del Goter,912
Tartera del Coferony,33425
Tartera de les Guineus,34056
Tarter Pirineos 3000 Apts,11990
Tarter Pirineos 3000,2177
Tarter Mountain Suites,34948
Tarter Gran,32041
Tartaj,15697
T'arsunts' Tap'er,23243
Tarshanah,28900
Tarsayich Ishkhani,48600
Tarsan,46713
Tarsachay,14738
T'ars,51
T'arruchan,0
T'arrp'er,1563
T'arrp',0
T'arrnots',8
T'arrnisti,0
T'arrnis,0
T'arrkatar Lerr,1899
T'arri Hogher,8847
T'arri Hogh,0
T'arrdari,0
T'arratun,25273
T'arrat'umb,375669
T'arrat'mbi Dzor,89220
T'arrategh,604527
T'arrani Aghbyur,97529
T'arrani,8159
T'arrakam,198400
T'arrahas,53357
T'arradzor,9835
Tarpuk,15816
T'arp'i,15400
Tarpal,18764
T'aroyi Margagetin,123563
T'aroyents' Sari,1153
T'aroyents' Ev Grigorents' Hoghaktorner,344875
Tarowgalo,55946
Taronine,16286
Taroniki Champ'i Tak,1383
Taronik,20483
Taroni Dashtavayr,42222
Tarnowak,2744
Tarnow,588129
Tarni,28390
Tarnek wa Jaldak,50820
Tarnawah,40510
Tarnaw,41405
Tarnak Rod,70371
Tarnab,1168
Tarmire Chinah,205368
Tarmiray Chinay,19
T'armi,30684
Tarmao-Pain,346403
Tarmah Bay,577026
Tarlik Nawah,71131
Tarlik,133856
Tarkusi Karez,921
Tarki Ghar,622444
Tarkhuj,54972
Tarkhoki,980
Tarkhebay,545
Tarkhe Chine Khwar,1389
Tarkhay Ginah,37426
Tarkhay Chine Khwar,943
Tarkhah Karez,33917
Tarkhah,33488
Tarkha,72
Tarkanri,234
Tarizai,39497
Tarisht,27962
Tari-Quicanzo,44509
Tariqat Ja`d,70751
Tarinkot,17390
Tarin-e Sufla,1322
Tarin-e Mianah,55686
Tarin-e `Ulya,265061
Tarin Miltanay,55876
Tarin Kowt Airport,113580
Tarin Kotah,114382
Tarin Kot,11069
Tarim Khan Kot,21108
Tarilay Ghar,848
Tarilay,2154694
Tarike Naw,175016
Tarikak,476980
Tarikah,236963
Tarik Bazar,8600
Tarij Ghar,127255
Tarij Darah,551175
Tarij,3303
Tarigag,296441
Tarif Kalba,12335
Tarif,6338
Tarichay Ghar,868
Tari Karez,254736
Tari Band,137291
T'argyuli Durr,32912
T'argmanch'ats' Surb,190
T'argman,263303
Targholak,12181
Targhay,142045
Tarfi Kel,2334
Tarekani Dasht,15806
Tarekan,1011
Tarbuz Guzar,36794
Tarbulagh,5021
Tarban,4193
Tarazh,3606
Taray Toy,9179
Taray Pushtah,26627
Taray Nare Khwar,206640
Taray Lewan Khel,246608
Taray Kotah,56566
Taray Ghar,37230
Taray Algad,1325291
Taray,215264
Taravu,712
Taratu,6157
Tarashpin Khwar,144
Tarashpin Khune,243526
Taraqi Algad,294618
Taraq,187094
Taraputo,61398
Tarapas,6371
Tarantatu,2944
Taranque,76183
Taranli,17188
Tarani,167133
Tarang Sarah,66
Tarang,62522
Tarane Algad Junubi,3883334
Taranah Tsahan,16015
Taranah Kelay,4792
Taran,272998
Taramanjamba,86465
Taralugh Shelah,206281
Tarale,148
Taralai,178770
Tarala,16912
Tarakzai,3312
Tarakparak,8814
Taraki Tsah,12536
Taraki Toy,27
Taraki Kelay,174243
Taraki Kandow,468713
Taraki Kandah,6064
Taraki Ghar,1386556
Taraki,1698005
Tarakhil Power Station,731016
Tarakhel Tarnaw,223651
Tarakhel Kochan,805116
Tarakhchi,35331
Tarakey Srah,26904
Tarakey Khwar,435130
Tarakey Ghar,268902
Tarakey,109164
Tarake Ghar,0
Tarakchi,73735
Tarakay Reg,201898
Tarakay Kowtal,86583
Tarakay Ghundey,47
Tarakay Ghar,90525
Tarakay Darah,397887
Tarakay,10523
Tarakai,2024
Tarakah,139658
Tarak Jar,2592
Tarak,202430
Taraj,56677
Tarahnik,9
Tarahne Ghundey,20155
Tarahne Algad Shamali,32469
Tarahlay,314989
Tarahkay Ghar,20919
Tarahkai,8613
Tarahkah-ye `Abdullah Khan,24599
Tarahif,4
Tarah Koh,17340
Tarah Khel,641
Tarah,1
Taragjin,195602
Taraghli,2028
Taraghay,3372
Taragar,80191
Tar Shaybal,486325
Tar Naw,62703
Tar Koh,40187
Tar Kirminj,274810
Tar Gayr Baba,2409
Tar Bulaq,6489
Tar Baghan,4828
Taqui,158906
Taqu Duz,107479
Taqshakah,75770
Taqmah,144404
Taqi,345236
Taqchin,1670
Taqchi,169860
Taqchah Khanah,597763
Taqchah Darah,1801083
Taqchah,810459
Taqarchah,167417
Taq Neshash,830563
Taq,19659
Tapuskhane Ghar,41
Tapus Khanah,3871
T'ap'urr-t'ap'urr,1663
Tap'urri,3
Tap'uk Hogher,3935
Tapqus,1961
Tappeh-ye Mondi Gak,380182
Tappeh-ye Karagheh,35959
Taporak,489530
Tapor Khwar,3000
Tapor Dasht,3921
Tapor,60046
Tap'olorri,323786
Tapo,195678
Tap'k'i,18
Tap'kants',8438
Tap'k',1521706
Tapize,93263
Tap'is,8870
Tapidzori,86039
Tap'i Serr,30540
Tap'i Salutner,8980
Tap'i Hogher,565034
Tap'i Berd,16042
Tap'i,976
Tapi,13308
Tap'eri Takht,509
Tap'eri Khamer,26441
Tap'eri,129
Tap'erakan,7598
Tap'er,7736
Tap'ear,238017
Tap'asar,2793632
Tap'art,40479
Tap'arrvi,413332
Tap'arru,64700
T'ap'arratap',80219
T'ap'arrashrjiki Hogher,3
T'ap'arrakani,142774
Tap'arank',2524
Tap'arakner,198554
Tap'arak,2545
Tapanner,82655
Tap'anats',36289
Tapan Kotruki Arter,57767
Tapalots',60656
Tapalo,13879
Tapaligh Kelay,23471
Tapaligh Ghar,26198
Tap'alich,269
Tap'akner,500092
Tap'akhazhut,136107
Tap'ak'arer,59677
Tap'akaghnut,136119
Tap'ak Meri,44559
Tap'ak Dar,16359
Tap'ak Arter,85879
Tap'ak,324564
Tapak,5411
Tapah-ye Ziarat,21632
Tapah-ye Zard,21289
Tapah-ye Zanborak,44061
Tapah-ye Yakah Baydak,485175
Tapah-ye Wersek,5026
Tapah-ye Wali,890766
Tapah-ye Tatbiqat,18
Tapah-ye Talah Ka,994
Tapah-ye Taj Beg,348800
Tapah-ye Sultayar,39153
Tapah-ye Siyah Sangak,99540
Tapah-ye Siyah Sang,820
Tapah-ye Siyah,11706
Tapah-ye Shuhada,107850
Tapah-ye Shand,5620
Tapah-ye Shakhzar,43324
Tapah-ye Shahida,61832
Tapah-ye Seh Topah,15663
Tapah-ye Sarak,827237
Tapah-ye Sar Ijdowi,324951
Tapah-ye Sang-e Siyah,57611
Tapah-ye Sangar-e Aqa Husain,8110
Tapah-ye Sangar,16839
Tapah-ye Sanak-e Kuj,217682
Tapah-ye Salam,29029
Tapah-ye Sakhi,44559
Tapah-ye Sagak,12539
Tapah-ye Sadray,125774
Tapah-ye Sabz Poshha,122
Tapah-ye Roghani,20264
Tapah-ye Robah Khunak,3188
Tapah-ye Qurghashim,10626
Tapah-ye Quduqak,324371
Tapah-ye Qowalha,715418
Tapah-ye Qol-e Zhalah,45448
Tapah-ye Qazi Kushtah,26878
Tapah-ye Qatar Say,56438
Tapah-ye Qarawul,19121
Tapah-ye Qalachah,29657
Tapah-ye Qal`ah-ye Surkh,16617
Tapah-ye Qal`ah-ye Sayyid Jan,448068
Tapah-ye Qal`ah-ye Ahmad Khan,1049
Tapah-ye Qal`ah,32212
Tapah-ye Qadahgak,132064
Tapah-ye Qabristan,724
Tapah-ye Qabr-e Safed,262779
Tapah-ye Pudinatu,77914
Tapah-ye Payghol,8094
Tapah-ye Pami,67483
Tapah-ye Noynah,196
Tapah-ye Nihalha,46764
Tapah-ye Naywarak,78297
Tapah-ye Nay `Abbas,18518
Tapah-ye Nash Patay,84569
Tapah-ye Narani,153
Tapah-ye Nalu,97730
Tapah-ye Murghan,33631
Tapah-ye Muhammad `Ali,34442
Tapah-ye Mir,381728
Tapah-ye Mazar-e Kaji,34659
Tapah-ye Mazar Miran,39459
Tapah-ye Mazar,46868
Tapah-ye Maranjan,3602445
Tapah-ye Malikan,60235
Tapah-ye Mahmudiyah,286865
Tapah-ye Lukah,8617
Tapah-ye Lich,42114
Tapah-ye Kundalan,24975
Tapah-ye Kulolah Pushtah,664116
Tapah-ye Kuhnah Qal`ah,17074
Tapah-ye Kowrej,12508
Tapah-ye Korkudugh,170461
Tapah-ye Kol-e Du Shakh,207539
Tapah-ye Kohha-ye Kol Ab,509596
Tapah-ye Kohha-ye Chalatak,27540
Tapah-ye Koh-e Jizhah,451
Tapah-ye Khwajah-Nilak,447315
Tapah-ye Khwajahha,40831
Tapah-ye Kholzard,4752
Tapah-ye Khisht-e Pukhtah,22397
Tapah-ye Kharkunak,4042
Tapah-ye Kharah-ye Baran,11389
Tapah-ye Khar,52204
Tapah-ye Khalkhalyan,49697
Tapah-ye Khalifah Baba,36662
Tapah-ye Khakbad,58725
Tapah-ye Khakak,314640
Tapah-ye Katah Now,10101
Tapah-ye Kashkar,27324
Tapah-ye Kartah-ye Now,43892
Tapah-ye Karez-e Tut,6569
Tapah-ye Kamar Bastah,591
Tapah-ye Kaman Gran,703
Tapah-ye Kali,21792
Tapah-ye Jowal,571315
Tapah-ye Jindo,65394
Tapah-ye Jazam,10509
Tapah-ye Jangalak,437187
Tapah-ye Jamil,287396
Tapah-ye Howz-e Murghan,22493
Tapah-ye Hisar,38503
Tapah-ye Hindo Sozan,36249
Tapah-ye Haji Ahmad Khan,107043
Tapah-ye Ghal Daraz,4813
Tapah-ye Gerd Qol,37016
Tapah-ye Gardan Buridah,3421
Tapah-ye Fatehagir,30109
Tapah-ye Fargul,15275
Tapah-ye Duta'i,88563
Tapah-ye Deku Dorozah,641340
Tapah-ye Deh-e Kaypak,0
Tapah-ye Dasht-e Kaj,49
Tapah-ye Darah-ye Khushk,41579
Tapah-ye Damag,308539
Tapah-ye Chah-e Taghan,76238
Tapah-ye Chah-e Jangali,48814
Tapah-ye Chagah,22735
Tapah-ye Bodah,31246
